"priority","pack_id","year","make","model","trim","powertrain","segment","oem_family","schedule_kind","source_tier","primary_pdf_url","alternate_pdf_urls","manual_type","maintenance_section_title","manual_share_applied","shared_from_pack_id","estimated_pdf_pages","http_status","content_type","sha256_if_downloaded","confidence","notes","blocked_reason"
"19","bmw-3-series-2019-330i","2019","BMW","3 Series","330i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2019/2019-BMW-Maintenance.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","no","","36","200","application/pdf","9378017163d6ff1a1e9b6f6ff519474d05832c448db619a36edc573a1dcd259e","0.90","Official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; canonical source for same-MY 3 Series trims. URL verification passed: HTTP 200, application/pdf, %PDF magic, 1027813 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 1027813 bytes, SHA-256 9378017163d6ff1a1e9b6f6ff519474d05832c448db619a36edc573a1dcd259e. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"20","bmw-3-series-2019-330e","2019","BMW","3 Series","330e","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2019/2019-BMW-Maintenance.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-3-series-2019-330i","36","200","application/pdf","9378017163d6ff1a1e9b6f6ff519474d05832c448db619a36edc573a1dcd259e","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-3-series-2019-330i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 1027813 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 1027813 bytes, SHA-256 9378017163d6ff1a1e9b6f6ff519474d05832c448db619a36edc573a1dcd259e. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"21","bmw-3-series-2019-m340i","2019","BMW","3 Series","M340i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2019/2019-BMW-Maintenance.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-3-series-2019-330i","36","200","application/pdf","9378017163d6ff1a1e9b6f6ff519474d05832c448db619a36edc573a1dcd259e","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-3-series-2019-330i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 1027813 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 1027813 bytes, SHA-256 9378017163d6ff1a1e9b6f6ff519474d05832c448db619a36edc573a1dcd259e. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"22","bmw-5-series-2025-530i","2025","BMW","5 Series","530i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2025/BMW_MY25_Maintenance_with_BEVs.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","no","","32","200","application/pdf","9f556e4ec58b90ae1d5e97808a45dfb379ce2768faddb638f0995ffb3fffeca0","0.90","Official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; canonical source for same-MY 5 Series trims. URL verification passed: HTTP 200, application/pdf, %PDF magic, 633540 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 633540 bytes, SHA-256 9f556e4ec58b90ae1d5e97808a45dfb379ce2768faddb638f0995ffb3fffeca0. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"23","bmw-5-series-2025-530e","2025","BMW","5 Series","530e","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2025/BMW_MY25_Maintenance_with_BEVs.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-5-series-2025-530i","32","200","application/pdf","9f556e4ec58b90ae1d5e97808a45dfb379ce2768faddb638f0995ffb3fffeca0","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-5-series-2025-530i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 633540 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 633540 bytes, SHA-256 9f556e4ec58b90ae1d5e97808a45dfb379ce2768faddb638f0995ffb3fffeca0. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"24","bmw-5-series-2025-540i","2025","BMW","5 Series","540i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2025/BMW_MY25_Maintenance_with_BEVs.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-5-series-2025-530i","32","200","application/pdf","9f556e4ec58b90ae1d5e97808a45dfb379ce2768faddb638f0995ffb3fffeca0","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-5-series-2025-530i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 633540 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 633540 bytes, SHA-256 9f556e4ec58b90ae1d5e97808a45dfb379ce2768faddb638f0995ffb3fffeca0. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"25","bmw-5-series-2024-530i","2024","BMW","5 Series","530i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2024/BMW_MY_2024_All_Models_Maintenance_with_BEVs_PC2_4C.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","no","","36","200","application/pdf","5b0d2ac407e169e5e3bae42bd49c59cf42e6b6cb0f98f41befbc8112c1e84aec","0.90","Official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; canonical source for same-MY 5 Series trims. URL verification passed: HTTP 200, application/pdf, %PDF magic, 445964 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 445964 bytes, SHA-256 5b0d2ac407e169e5e3bae42bd49c59cf42e6b6cb0f98f41befbc8112c1e84aec. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"26","bmw-5-series-2024-530e","2024","BMW","5 Series","530e","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2024/BMW_MY_2024_All_Models_Maintenance_with_BEVs_PC2_4C.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-5-series-2024-530i","36","200","application/pdf","5b0d2ac407e169e5e3bae42bd49c59cf42e6b6cb0f98f41befbc8112c1e84aec","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-5-series-2024-530i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 445964 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 445964 bytes, SHA-256 5b0d2ac407e169e5e3bae42bd49c59cf42e6b6cb0f98f41befbc8112c1e84aec. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"27","bmw-5-series-2024-540i","2024","BMW","5 Series","540i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2024/BMW_MY_2024_All_Models_Maintenance_with_BEVs_PC2_4C.pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-5-series-2024-530i","36","200","application/pdf","5b0d2ac407e169e5e3bae42bd49c59cf42e6b6cb0f98f41befbc8112c1e84aec","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-5-series-2024-530i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 445964 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 445964 bytes, SHA-256 5b0d2ac407e169e5e3bae42bd49c59cf42e6b6cb0f98f41befbc8112c1e84aec. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"28","bmw-5-series-2023-530i","2023","BMW","5 Series","530i","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2023/BMW-MY-2023-All-Models-Maintenance-(On-line).pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","no","","24","200","application/pdf","f77926d943328b1465e48c161e2151b0e310dd3f3c24e8c693452025157bb4d3","0.90","Official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; canonical source for same-MY 5 Series trims. URL verification passed: HTTP 200, application/pdf, %PDF magic, 836848 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 836848 bytes, SHA-256 f77926d943328b1465e48c161e2151b0e310dd3f3c24e8c693452025157bb4d3. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
"29","bmw-5-series-2023-530e","2023","BMW","5 Series","530e","","luxury_sedan","bmw","cbs_condition_based","B","https://www.bmwusa.com/content/dam/bmw/marketUS/common/warranty-books/2023/BMW-MY-2023-All-Models-Maintenance-(On-line).pdf","","maintenance_booklet","The BMW Maintenance System / Maintenance Service Summary","yes","bmw-5-series-2023-530i","24","200","application/pdf","f77926d943328b1465e48c161e2151b0e310dd3f3c24e8c693452025157bb4d3","0.88","Schedule shared across trims per manual_share_policy; official US model-year BMW Maintenance booklet; extractable CBS and Maintenance Service Summary; shared from bmw-5-series-2023-530i. URL verification passed: HTTP 200, application/pdf, %PDF magic, 836848 bytes. v2 retry validation passed 2026-07-26: HTTP 200, application/pdf, %PDF magic, 836848 bytes, SHA-256 f77926d943328b1465e48c161e2151b0e310dd3f3c24e8c693452025157bb4d3. Source discovery is valid; remaining dual_extract_mismatch state requires extractor or creator-review remediation.",""
